,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,hilo,19.73,-155.09,75.2,83,90,10.29,1584476705,US
1,tahoua,14.89,5.27,93.2,5,0,4.7,1584476833,NE
2,andenes,69.31,16.12,35.6,71,75,26.4,1584476833,NO
3,bambous virieux,-20.34,57.76,75.2,94,20,2.24,1584476714,MU
4,imbituba,-28.24,-48.67,75.2,69,75,6.93,1584476834,BR
5,kapaa,22.08,-159.32,69.8,94,90,8.05,1584476420,US
6,puerto ayora,-0.74,-90.35,84.2,66,20,13.87,1584476701,EC
7,new norfolk,-42.78,147.06,68.0,49,75,10.29,1584476415,AU
8,sterling,39.01,-77.43,66.2,55,90,6.93,1584476834,US
9,sakaiminato,35.55,133.23,50.0,81,75,3.36,1584476834,JP
10,punta arenas,-53.15,-70.92,57.2,47,75,23.04,1584476706,CL
11,makakilo city,21.35,-158.09,78.8,94,90,29.97,1584476772,US
12,codrington,-38.27,141.97,67.73,57,100,10.87,1584476766,AU
13,nikolskoye,59.7,30.79,37.4,74,75,11.18,1584476732,RU
14,hobart,-42.88,147.33,68.0,52,100,9.17,1584476696,AU
15,byron bay,-28.65,153.62,66.99,93,75,8.05,1584476810,AU
16,butaritari,3.07,172.79,82.85,76,1,14.23,1584476701,KI
17,ushuaia,-54.8,-68.3,55.4,50,75,3.36,1584476482,AR
18,albany,42.6,-73.97,50.0,66,90,5.88,1584476664,US
19,hermanus,-34.42,19.23,64.99,90,3,1.01,1584476426,ZA
20,mataura,-46.19,168.86,42.01,96,3,1.99,1584476684,NZ
21,nanortalik,60.14,-45.24,19.85,57,0,14.27,1584476744,GL
22,bluff,-46.6,168.33,42.01,96,6,1.99,1584476489,NZ
23,busselton,-33.65,115.33,51.01,96,68,17.16,1584476413,AU
24,uglekamensk,43.22,133.23,27.41,81,0,3.29,1584476836,RU
25,hithadhoo,-0.6,73.08,84.65,75,92,12.41,1584476718,MV
26,airai,-8.93,125.41,63.77,82,0,4.32,1584476728,TL
27,kodiak,57.79,-152.41,39.2,86,40,2.93,1584476506,US
28,longyearbyen,78.22,15.64,-18.4,68,20,3.36,1584476620,SJ
29,pevek,69.7,170.31,23.27,91,100,14.52,1584476734,RU
30,dekar,-21.53,21.93,71.33,54,67,10.94,1584476837,BW
31,abha,18.22,42.51,62.6,87,0,8.05,1584476814,SA
32,izhevskoye,54.56,40.87,33.53,75,0,9.22,1584476838,RU
33,tilichiki,60.47,166.1,13.01,85,100,4.25,1584476675,RU
34,severodvinsk,64.56,39.83,33.8,55,20,8.95,1584476838,RU
35,tasiilaq,65.61,-37.64,14.0,78,20,3.36,1584476723,GL
36,kaitangata,-46.28,169.85,45.77,81,4,9.4,1584476743,NZ
37,eidsvag,62.78,8.07,41.0,93,100,23.04,1584476838,NO
38,georgetown,5.41,100.34,80.6,88,20,3.94,1584476466,MY
39,talnakh,69.49,88.4,10.4,85,90,31.32,1584476788,RU
40,ostrovnoy,68.05,39.51,19.67,92,4,15.28,1584476707,RU
41,khatanga,71.97,102.5,-16.33,84,78,8.99,1584476645,RU
42,rikitea,-23.12,-134.97,80.51,79,6,14.43,1584476415,PF
43,severo-kurilsk,50.68,156.12,17.15,91,100,11.23,1584476673,RU
44,juneau,58.3,-134.42,37.4,69,75,10.29,1584476612,US
45,lanzhou,36.06,103.79,43.0,42,3,4.47,1584476839,CN
46,turtas,58.94,69.13,27.23,92,100,12.77,1584476839,RU
47,namatanai,-3.67,152.43,81.95,78,100,8.68,1584476704,PG
48,coahuayana,18.73,-103.68,82.4,58,5,11.41,1584476840,MX
49,barrow,71.29,-156.79,12.2,85,1,11.41,1584476414,US
50,yellowknife,62.46,-114.35,-4.0,58,75,5.82,1584476072,CA
51,binzhou,37.37,118.02,61.0,30,0,1.99,1584476840,CN
52,dunedin,-45.87,170.5,46.85,75,0,4.12,1584476694,NZ
53,port alfred,-33.59,26.89,66.99,97,47,7.0,1584476715,ZA
54,tiksi,71.69,128.87,-28.93,89,99,8.19,1584476675,RU
55,manyana,-23.4,21.72,70.97,50,6,7.58,1584476841,BW
56,tuktoyaktuk,69.45,-133.04,-0.4,84,90,9.17,1584476729,CA
57,melville,40.79,-73.42,55.99,71,90,10.29,1584476580,US
58,mar del plata,-38.0,-57.56,75.0,77,100,6.93,1584476714,AR
59,puerto baquerizo moreno,-0.9,-89.6,86.0,66,20,8.05,1584476841,EC
60,acarau,-2.89,-40.12,77.81,86,100,5.37,1584476829,BR
61,shingu,33.73,135.98,55.31,64,0,11.83,1584476841,JP
62,ancud,-41.87,-73.82,64.4,59,20,6.93,1584476720,CL
63,naze,28.37,129.48,64.4,55,95,6.93,1584476842,JP
64,fortuna,40.6,-124.16,46.99,87,75,14.99,1584476730,US
65,ribeira grande,38.52,-28.7,64.4,82,20,11.41,1584476716,PT
66,nome,64.5,-165.41,28.0,92,90,17.22,1584476718,US
67,paita,-5.09,-81.11,62.6,100,30,11.41,1584476842,PE
68,noumea,-22.28,166.46,73.4,83,28,17.49,1584476843,NC
69,cape town,-33.93,18.42,68.0,88,12,11.41,1584476704,ZA
70,vardo,70.37,31.11,24.8,79,75,9.17,1584476735,NO
71,riyadh,24.69,46.72,77.0,31,32,10.29,1584476719,SA
72,upernavik,72.79,-56.15,-12.01,50,15,6.2,1584476705,GL
73,sitka,57.05,-135.33,41.0,65,1,13.87,1584476483,US
74,dikson,73.51,80.55,-3.19,100,100,6.64,1584476730,RU
75,poya,-21.35,165.15,77.99,78,0,16.55,1584476844,NC
76,margate,51.38,1.39,48.99,87,67,10.29,1584476806,GB
77,elmira,42.09,-76.81,48.2,57,90,14.99,1584476580,US
78,castro,-24.79,-50.01,72.05,80,0,5.39,1584476707,BR
79,blairmore,49.6,-114.44,41.0,38,75,4.7,1584476844,CA
80,khani,41.96,42.96,37.4,93,90,3.36,1584476844,GE
81,atambua,-9.11,124.89,73.13,87,0,3.22,1584476845,ID
82,guaruja,-23.99,-46.26,79.0,88,90,2.24,1584476845,BR
83,kruisfontein,-34.0,24.73,66.29,64,0,6.15,1584476721,ZA
84,ponta do sol,32.67,-17.1,59.0,67,40,17.22,1584476738,PT
85,jamestown,42.1,-79.24,42.8,70,90,14.99,1584476703,US
86,bethel,41.37,-73.41,53.01,75,90,6.93,1584476418,US
87,bukoba,-1.33,31.81,75.2,83,20,16.33,1584476845,TZ
88,koslan,63.46,48.9,24.35,88,86,9.17,1584476845,RU
89,barra do garcas,-15.89,-52.26,91.4,49,40,4.7,1584476846,BR
90,rosarito,32.33,-117.03,63.0,55,40,11.41,1584476846,MX
91,vanimo,-2.67,141.3,81.77,80,81,10.29,1584476846,PG
92,maua,-23.67,-46.46,79.0,78,90,14.99,1584476604,BR
93,itarema,-2.92,-39.92,77.81,86,100,5.37,1584476760,BR
94,kautokeino,69.01,23.04,25.07,80,100,9.04,1584476846,NO
95,along,28.17,94.77,54.41,78,21,4.56,1584476846,IN
96,necochea,-38.55,-58.74,71.01,75,100,2.33,1584476847,AR
97,teknaf,20.86,92.31,64.85,67,0,2.84,1584476847,BD
98,altamirano,16.88,-92.15,79.79,46,32,5.08,1584476847,MX
99,balad,34.02,44.15,70.61,45,67,18.86,1584476847,IQ
100,saskylakh,71.92,114.08,-23.89,80,7,7.49,1584476711,RU
101,east london,-33.02,27.91,70.61,82,100,13.85,1584476718,ZA
102,santiago del estero,-27.8,-64.26,84.47,58,23,8.16,1584476674,AR
103,guerrero negro,27.98,-114.06,66.83,48,0,10.8,1584476550,MX
104,nchelenge,-9.35,28.73,72.05,82,16,4.41,1584476848,ZM
105,ahipara,-35.17,173.17,60.53,53,0,6.82,1584476421,NZ
106,cayenne,4.93,-52.33,80.6,78,75,4.7,1584476711,GF
107,bulgan,48.81,103.53,15.53,90,92,3.53,1584476756,MN
108,clyde river,70.47,-68.59,-16.6,82,75,16.11,1584476742,CA
109,ranong,9.97,98.63,77.99,81,100,4.7,1584476808,TH
110,monywa,22.12,95.13,74.21,34,0,7.47,1584476849,MM
111,thompson,55.74,-97.86,-0.4,54,5,6.93,1584476703,CA
112,zyryanka,65.75,150.85,-16.69,100,0,0.74,1584476849,RU
113,brae,60.4,-1.35,41.0,61,12,27.51,1584476767,GB
114,avarua,-21.21,-159.78,80.6,88,100,17.22,1584476418,CK
115,svetlogorsk,52.63,29.73,36.05,92,27,4.74,1584476850,BY
116,yangjiang,21.85,111.97,69.71,85,100,2.55,1584476850,CN
117,saint-pierre,-21.34,55.48,75.2,94,90,5.82,1584476752,RE
118,sao filipe,14.9,-24.5,67.01,80,67,23.35,1584476726,CV
119,bredasdorp,-34.53,20.04,66.2,72,33,9.17,1584476735,ZA
120,carnarvon,-24.87,113.63,71.6,78,100,12.75,1584476716,AU
121,kahului,20.89,-156.47,80.6,61,20,4.7,1584476694,US
122,bismarck,46.81,-100.78,39.99,48,20,11.41,1584476837,US
123,majene,-3.54,118.97,74.75,89,20,3.22,1584476851,ID
124,fare,-16.7,-151.02,83.03,71,91,8.52,1584476729,PF
125,talara,-4.58,-81.27,62.6,100,0,11.41,1584476851,PE
126,fort saint james,54.43,-124.25,34.79,71,18,3.51,1584476852,CA
127,westport,41.14,-73.36,55.0,81,75,4.7,1584476633,US
128,kolpashevo,58.31,82.91,32.99,94,100,17.83,1584476852,RU
129,henties bay,-22.12,14.28,62.01,94,0,1.01,1584476852,NA
130,porbandar,21.64,69.61,78.89,57,0,9.13,1584476813,IN
131,seddon,-37.81,144.89,72.0,49,100,17.22,1584476852,AU
132,skibbereen,51.55,-9.27,50.0,100,75,21.92,1584476853,IE
133,rognan,67.1,15.39,39.2,80,75,27.51,1584476853,NO
134,udon thani,17.42,102.79,81.05,60,67,5.12,1584476853,TH
135,faanui,-16.48,-151.75,82.67,73,100,8.1,1584476724,PF
136,eyl,7.98,49.82,80.51,75,46,18.12,1584476548,SO
137,nador,35.17,-2.93,60.8,87,90,12.75,1584476853,MA
138,saint george,37.1,-113.58,60.8,50,75,13.87,1584476639,US
139,norman wells,65.28,-126.83,21.2,85,90,4.29,1584476706,CA
140,vestmannaeyjar,63.44,-20.27,34.97,70,77,2.53,1584476842,IS
141,ganzhou,28.82,115.43,50.81,87,25,0.89,1584476854,CN
142,isangel,-19.55,169.27,80.6,83,75,16.49,1584476712,VU
143,boa vista,2.82,-60.67,96.8,34,40,10.29,1584476854,BR
144,vaini,-21.2,-175.2,78.8,94,75,13.87,1584476488,TO
145,qaanaaq,77.48,-69.36,-19.39,60,96,5.75,1584476734,GL
146,anadyr,64.75,177.48,21.2,79,75,11.18,1584476714,RU
147,manadhoo,5.77,73.38,84.11,78,19,18.37,1584476855,MV
148,port-cartier,50.03,-66.87,27.0,92,90,12.75,1584476612,CA
149,weligama,5.97,80.42,75.83,86,100,11.21,1584476855,LK
150,saint anthony,45.02,-93.22,45.0,41,1,6.93,1584476752,US
151,torres,-29.34,-49.73,73.85,78,43,14.41,1584476839,BR
152,vila,42.03,-8.16,62.01,63,40,4.7,1584476856,PT
153,rocha,-34.48,-54.33,70.97,58,100,11.27,1584476856,UY
154,alyangula,-13.85,136.42,73.4,100,11,3.87,1584476847,AU
155,atuona,-9.8,-139.03,82.49,74,2,9.64,1584476501,PF
156,kirkwall,58.98,-2.96,39.99,86,98,14.99,1584476856,GB
157,chapais,49.78,-74.85,28.4,74,75,12.75,1584476704,CA
158,moa,20.66,-74.94,72.41,75,64,8.88,1584476857,CU
159,tame,6.46,-71.73,100.13,23,0,6.13,1584476857,CO
160,kimberley,-28.73,24.76,62.6,93,100,5.82,1584476857,ZA
161,padang,-0.95,100.35,68.45,91,14,5.12,1584476827,ID
162,victoria,22.29,114.16,71.01,73,40,8.05,1584476543,HK
163,petropavlovsk-kamchatskiy,53.05,158.65,17.6,52,100,8.95,1584476857,RU
164,sao geraldo do araguaia,-6.4,-48.55,79.79,84,42,1.05,1584476858,BR
165,eydhafushi,5.1,73.07,84.29,78,88,19.71,1584476858,MV
166,mount gambier,-37.83,140.77,71.6,35,40,14.99,1584476772,AU
167,miramar,25.99,-80.23,84.0,58,1,13.87,1584476811,US
168,oppdal,62.59,9.69,22.55,78,43,20.58,1584476711,NO
169,vila franca do campo,37.72,-25.43,60.8,72,20,6.93,1584476459,PT
170,lago da pedra,-4.33,-45.17,79.25,88,32,4.14,1584476858,BR
171,cherskiy,68.75,161.3,3.65,95,100,16.24,1584476731,RU
172,itaqui,-29.13,-56.55,95.99,33,0,0.49,1584476859,BR
173,chuy,-33.7,-53.46,71.87,70,100,13.33,1584476746,UY
174,chokurdakh,70.63,147.92,-4.45,97,100,9.51,1584476712,RU
175,provideniya,64.38,-173.3,25.79,96,100,6.67,1584476420,RU
176,santa maria,-29.68,-53.81,86.0,58,0,12.75,1584476760,BR
177,beruwala,6.48,79.98,76.01,87,100,7.65,1584476859,LK
178,kuruman,-27.45,23.43,64.0,82,48,9.62,1584476856,ZA
179,tlacotepec,20.07,-97.87,66.11,74,1,9.57,1584476860,MX
180,wonthaggi,-38.6,145.59,71.01,54,100,8.01,1584476860,AU
181,mananjary,-21.22,48.33,79.07,81,100,5.82,1584476860,MG
182,saint-philippe,-21.36,55.77,75.2,94,90,5.82,1584476728,RE
183,mahebourg,-20.41,57.7,75.2,94,20,2.24,1584476766,MU
184,presidencia roque saenz pena,-26.79,-60.44,92.39,42,94,2.89,1584476734,AR
185,puerto madero,14.72,-92.42,93.2,44,20,11.41,1584476860,MX
186,wawa,9.9,4.42,88.25,25,100,1.39,1584476860,NG
187,velsk,61.07,42.1,29.21,70,99,9.95,1584476861,RU
188,zabol,32.25,67.25,46.31,62,0,6.17,1584476861,AF
189,narsaq,60.92,-46.05,15.8,43,20,4.07,1584476773,GL
190,tura,25.52,90.22,66.29,43,0,1.97,1584476787,IN
191,kattivakkam,13.22,80.32,82.99,83,20,2.24,1584476861,IN
192,baker city,44.77,-117.83,51.8,43,1,4.7,1584476674,US
193,iqaluit,63.75,-68.51,15.8,78,90,18.34,1584476611,CA
194,bubaque,11.28,-15.83,79.97,70,27,21.83,1584476766,GW
195,katsuura,35.13,140.3,44.6,65,0,6.93,1584476754,JP
196,port elizabeth,-33.92,25.57,66.2,82,0,9.17,1584476722,ZA
197,lufkin,31.34,-94.73,82.0,57,75,4.7,1584476443,US
198,denpasar,-8.65,115.22,80.6,88,20,2.24,1584476862,ID
199,nanzhang,31.78,111.84,57.29,62,0,3.6,1584476862,CN
200,qianan,44.99,124.06,36.05,46,86,14.23,1584476862,CN
201,costa rica,-23.42,-54.65,86.27,64,63,4.63,1584476862,BR
202,komsomolskiy,40.43,71.72,55.4,47,94,4.7,1584476742,UZ
203,nha trang,12.25,109.18,75.2,88,20,4.7,1584476863,VN
204,port hardy,50.7,-127.42,44.6,75,20,11.41,1584476442,CA
205,porto novo,6.5,2.6,84.2,83,40,12.75,1584476764,BJ
206,tarko-sale,64.92,77.78,21.0,86,100,14.25,1584476800,RU
207,geraldton,-28.77,114.6,69.8,60,90,12.75,1584476760,AU
208,hokitika,-42.72,170.97,54.95,69,0,11.79,1584476863,NZ
209,arman,59.7,150.17,11.03,94,100,9.35,1584476863,RU
210,linhares,-19.39,-40.07,76.73,86,1,5.46,1584476863,BR
211,lensk,60.73,114.93,20.93,96,100,6.29,1584476726,RU
212,cidreira,-30.18,-50.21,73.67,79,93,19.17,1584476761,BR
213,jutai,-5.18,-68.9,77.27,93,97,1.3,1584476864,BR
214,takoradi,4.88,-1.76,80.69,84,100,6.85,1584476864,GH
215,buala,-8.14,159.59,80.69,81,0,2.21,1584476763,SB
216,diapaga,12.07,1.79,87.17,8,64,6.02,1584476864,BF
217,tevriz,57.51,72.4,26.87,92,58,10.36,1584476864,RU
218,dinguiraye,11.3,-10.72,83.57,15,19,3.49,1584476865,GN
219,yablonovo,50.85,37.36,37.4,47,35,6.71,1584476865,RU
220,sandpoint,48.28,-116.55,50.0,42,1,11.41,1584476865,US
221,pisco,-13.7,-76.22,71.6,30,40,21.92,1584476717,PE
222,araouane,18.9,-3.53,81.05,9,79,3.2,1584476789,ML
223,san cristobal,7.77,-72.22,84.2,58,40,8.05,1584476743,VE
224,hellin,38.51,-1.7,52.0,87,75,12.75,1584476865,ES
225,villazon,-22.09,-65.59,66.47,47,100,16.2,1584476865,BO
226,piombino,42.93,10.52,53.01,57,75,4.43,1584476724,IT
227,payson,40.04,-111.73,62.6,28,40,5.82,1584476866,US
228,santa isabel do rio negro,-0.41,-65.02,81.41,93,100,3.06,1584476866,BR
229,lavrentiya,65.58,-171.0,27.23,96,100,8.79,1584476757,RU
230,yulara,-25.24,130.99,77.0,31,0,5.82,1584476767,AU
231,saint-augustin,51.23,-58.65,27.41,80,100,23.87,1584476700,CA
232,escuinapa,22.85,-105.8,86.0,33,40,9.17,1584476867,MX
233,hambantota,6.12,81.12,79.07,81,100,12.66,1584476732,LK
234,garissa,-0.45,39.64,82.49,70,100,16.96,1584476867,KE
235,touros,-5.2,-35.46,86.0,66,20,14.99,1584476746,BR
236,oranjemund,-28.55,16.43,62.69,88,0,4.23,1584476714,NA
237,cap-aux-meules,47.38,-61.86,30.2,74,75,13.87,1584476867,CA
238,ankazoabo,-22.28,44.52,68.45,84,0,9.86,1584476867,MG
239,anloga,5.79,0.9,84.2,79,20,13.87,1584476748,GH
240,poum,-20.23,164.02,79.43,79,21,16.51,1584476849,NC
241,matara,5.95,80.54,75.83,86,100,11.21,1584476748,LK
242,middelburg,-25.78,29.46,58.01,76,100,3.53,1584476868,ZA
243,laranjeiras do sul,-25.41,-52.42,80.51,66,30,3.13,1584476615,BR
244,cabo san lucas,22.89,-109.91,81.0,50,75,11.41,1584476739,MX
245,bushehr,28.97,50.84,68.0,68,0,7.02,1584476868,IR
246,honningsvag,70.98,25.97,24.8,79,75,4.7,1584476869,NO
247,paamiut,61.99,-49.67,12.29,55,92,9.37,1584476767,GL
248,muramvya,-3.27,29.61,59.81,92,100,2.51,1584476869,BI
249,san patricio,19.22,-104.7,87.8,74,40,11.41,1584476747,MX
250,kenai,60.55,-151.26,30.0,73,90,6.93,1584476869,US
251,constitucion,-35.33,-72.42,64.13,65,4,12.57,1584476674,CL
252,douentza,15.0,-2.95,85.01,23,58,4.54,1584476702,ML
253,bereda,43.27,-7.54,57.2,71,94,3.36,1584476869,ES
254,kavieng,-2.57,150.8,83.03,75,100,12.35,1584476440,PG
255,kortkeros,61.81,51.58,24.8,62,68,4.47,1584476870,RU
256,abbeville,50.1,1.83,50.0,81,98,2.24,1584476870,FR
257,giyon,8.53,37.98,55.85,94,100,3.65,1584476870,ET
258,nalut,30.33,10.85,65.57,36,0,25.28,1584476870,LY
259,jaruco,23.04,-82.01,84.2,48,40,5.82,1584476870,CU
260,korla,41.76,86.15,48.0,52,45,5.01,1584476489,CN
261,beberibe,-4.18,-38.13,86.0,66,20,8.05,1584476871,BR
262,saldanha,-33.01,17.94,62.6,82,0,8.05,1584476774,ZA
263,atlantis,-33.57,18.48,68.0,88,0,11.41,1584476871,ZA
264,abong mbang,3.98,13.18,75.83,57,100,4.25,1584476871,CM
265,laguna,38.42,-121.42,55.99,71,75,5.82,1584476708,US
266,biak,-0.91,122.88,80.51,74,10,4.92,1584476734,ID
267,la asuncion,11.03,-63.86,86.0,62,71,14.99,1584476871,VE
268,allapalli,19.42,80.07,79.61,48,0,4.34,1584476871,IN
269,avera,33.19,-82.53,73.4,100,75,3.36,1584476872,US
270,tuatapere,-46.13,167.68,42.01,96,34,1.99,1584476724,NZ
271,tanete,-3.94,119.78,73.49,96,11,1.1,1584476872,ID
272,ampanihy,-24.7,44.75,66.11,92,0,6.89,1584476872,MG
273,alta floresta,-9.88,-56.09,87.8,55,40,6.93,1584476872,BR
274,nelson bay,-32.72,152.15,59.0,93,20,5.82,1584476872,AU
275,teya,60.38,92.63,7.43,80,100,5.03,1584476872,RU
276,roura,4.73,-52.33,80.6,78,75,4.7,1584476873,GF
277,port lavaca,28.61,-96.63,78.01,94,90,12.75,1584476873,US
278,sur,22.57,59.53,66.65,57,0,4.27,1584476748,OM
279,esperance,-33.87,121.9,60.8,87,75,5.82,1584476707,AU
280,san quintin,30.48,-115.95,60.17,56,90,6.76,1584476778,MX
281,tessalit,20.2,1.01,83.03,16,93,8.01,1584476836,ML
282,sorland,67.67,12.69,39.2,71,75,6.93,1584476807,NO
283,gat,31.61,34.76,55.4,82,75,10.29,1584476462,IL
284,pontes e lacerda,-15.23,-59.34,84.65,72,100,3.06,1584476874,BR
285,nadvoitsy,63.87,34.32,28.85,95,100,13.31,1584476874,RU
286,ishigaki,24.34,124.16,71.15,64,45,9.89,1584476697,JP
287,ilulissat,69.22,-51.1,3.2,49,75,21.92,1584476728,GL
288,khasan,42.43,130.64,31.37,80,0,2.59,1584476874,RU
289,bac lieu,9.29,105.72,74.93,90,100,5.73,1584476874,VN
290,leningradskiy,69.38,178.42,25.79,77,100,7.83,1584476757,RU
291,hurghada,27.26,33.81,68.0,45,0,9.17,1584476875,EG
292,huarmey,-10.07,-78.15,82.31,48,42,8.43,1584476717,PE
293,ituango,7.17,-75.76,67.37,81,98,2.04,1584476875,CO
294,fort-shevchenko,44.51,50.26,35.15,70,85,10.69,1584476797,KZ
295,koksovyy,48.2,40.6,35.69,63,0,4.32,1584476875,RU
296,zhanakorgan,43.91,67.25,50.63,60,31,12.62,1584476875,KZ
